費用,ひよう cost; expense
旅費,りょひ traveling expenses
消費者,しょうひしゃ consumer
会費,かいひ membership fee
期間,きかん a period of time
定期券,ていきけん commuter pass;season ticket
長期,ちょうき long time period
短期,たんき a short period
期限,きげん a time limit; deadline
限度,げんど limit;bounds
限る,かぎる to restrict;to limit;to confine
限定する,げんていする to limit
限定品,げんていひん limited edition
。。製,せい -made; make
日本製,にほんせい made in Japan
製品,せいひん product
製造する,せいぞうする To manufacture
造る,つくる To make To manufacture
賞,しょう prize;award
賞味期限,しょうみきげん Expired Date
賞金,しょうきん prize money
賞品,しょうひん prize;trophy
方法,ほうほう method
文法,ぶんぽう grammar
温度,おんど temperature
気温が下がる,きおんがさがる Temperature falls
常温,じょうおん normal temperature
常温で保存する,じょうおんでほぞんする Keep in Normal Temperature
温かい,あたたかい warm(used in 物）
