材料,ざいりょう ingredients
素材,そざい raw materials ; subject matter
教材,きょうざい teaching materials
人材,じんざい human resources
卵,たまご egg
卵焼き,たまごやき a Japanese omelet
牛乳,ぎゅうにゅう milk
粉,こな powder
小麦粉,こむぎこ wheat flour
花粉,かふん pollen
袋,ふくろ bag
ゴミ袋,ごみぶくろ a garbage bag
紙袋,かみぶくろ paper bag
手袋,てぶくろ gloves(を はめる）
足袋,たび Japanese socks (with split toe)（を はく）
混ぜる,まぜる to mix ; to stir
混雑する,こんざつする to be crowded
焼く,やく to roast/grill
焼ける,やける to burn ; to be roasted
焼肉,やきにく grilled meat
日焼け,ひやけ sunburn
表,ひょう table; chart
表,おもて the front
表す,あらわす to express; to show; to reveal
表面,ひょうめん surface; outside; face; appearance
代表,だいひょう representative
発表,はっぴょう announcement ; publication
裏,うら the reverse/back
裏返す,うらがえす to turn over
裏返し,うらがえし inside out; upside down
裏切り者,うらぎりもの traitor
