百,ひゃく（~ရာ）
千,せん (~ထောင်)
万,まん (~သောင်း)
円,えん (~ယန်း)
半,はん (တစ်၀က်)
分,ふん / ぶん / ぷん (မိနစ်)
年,ねん / とし (~နှစ်)
月,つき / がつ / げつ (~လ)
火,ひ / か (မီး)
水,みず / すい (ရေ)
木,き / もく (သစ်ပင်)
金,かね / きん (ပိုက်ဆံ)
土,つち / ど (မြေကြီး)
日,にち / び (နေ့ရက်)
上,うえ (အပေါ်)
下,した (အောက်)
外,そと (အပြင်)
中,なか / ちゅう (အလယ်/စဉ်/အတွင်း)
前,まえ (အရှေ့)
後,あと (အနောက်)
左,ひだり (ဘယ်ဘက်)
右,みぎ (ညာဘက်)
東,ひがし (အရှေ့အရပ်)
西,にし (အနောက်အရပ်)
南,みなみ (တောင်)
北,きた (မြောက်)
時,じ (~နာရီ/အချိန်/အခါ)
間,あいだ / かん (ကြား)
週,しゅう (~ပတ်)
国,くに / こく (တိုင်းပြည်)
会主,かいしゃ (Company)
店,みせ (ဆိုင်)
本,ほん (စာအုပ်)
何,なに / なん (ဘာလဲ/ဘယ်)
語,ご (ဘာသာစကား)
毎,まい (အမြဲတမ်း)
同じ,おなじ (တူသော)
空,そら (ကောင်းကင်)
海,うみ (ပင်လယ်)
花,はな (ပန်း)
山,やま (တောင်)
川,かわ (မြစ်)
天気,てんき (ရာသီဉတု)
電気,でんき (လျှပ်စစ်)
車,くるま / しゃ(ကား)
雨,あめ (မိုး)
台,たい / だい (စီး/လုံး)
魚,さかな (ငါး)
犬,いぬ (ခွေး)
人,ひと / じん / にん(လူ/လူမျိုး/ယောက်)
父,ちち (အဖေ)
母,はは (အမေ)
子ども,こども (ကလေး)
男,おとこ (ယောက်ျားလေး)
女,おんな (မိန်းကလေး)
友だち,ともだち (သူငယ်ချင်း)
名前,なまえ (နာမည်)
口,くち (ပါးစပ်)
耳,みみ (နား)
目,め (မျက်လုံး)
手,て (လက်)
足,あし (ခြေထောက်)
紙,かみ (စာရွက်)
手紙,てがみ (ပေးစာ)
大学,だいがく (University)
学生,がくせい (ကျောင်းသား)
先生,せんせい (ဆရာ/ဆရာမ)
午後,ごご (မွန်းလွဲ)
午前,ごぜん (မနက်)
先,さき (အရင်)
今,いま (အခု)
学校,がっこう (ကျောင်း)
駅,えき (ဘူတာ)
道,みち (လမ်း)
明るい,あかるい (လင်းလက်သော)
甘い,あまい (ချိုသော)
大きい,おおき (ကြီးသော)
安い,やすい (ဈေးပေါသော)
小さい,ちいさい (သေးငယ်သော)
赤い,あかい (နီသော)
長い,ながい (ရှည်သော)
多い,おおい (များသော)
高い,たかい (မြင့်သော/ဈေးကြီးသော)
近い,ちかい (နီးသော)
新しい,あたらし (သစ်လွင်သော)
少し,すこし (အနည်းငယ်)
白い,しろい (ဖြူသော)
少ない,すくない (နည်းသော)
広い,ひろい (ကျယ်သော)
古い,ふるい (အိုဟောင်းသော)
行く,いく (သွားသည်)
来る,くる (လာသည်)
持つ,もつ (ယူသည်)
休む,やすむ (အနားယူသည်)
食べる,たべる (စားသည်)
買う,かう (၀ယ်သည်)
立つ,たつ (မတ်တပ်ရပ်သည်)
見る,みる (ကြည့်သည်)
切る,きる (လှီးသည်/ဖြတ်သည်)
書く,かく (ရေးသည်)
入る,はいる (၀င်သည်)
飲む,のむ (သောက်သည်)
出る,でる (ထွက်သည်)
聞く,きく (ကြားသည်/မေးသည်)
出す,だす (ထုတ်သည်/ထပ်သည်)
会う,あう (တွေ့ဆုံသည်)
読む,よむ (ဖတ်သည်)
話す,はなす (စကားပြောသည်)
言う,いう (ပြောသည်)
生まれる,うまれる (မွေးဖွားသည်)
入れる,いれる (ထည့်သည်)
学ぶ,まなぶ (သင်ယူသည်)
着る,きる (၀တ်သည်)
返す,かえす(ပြန်လဲသည်)
見せる,みせる (ပြသည်)
